true_emotion,predicted_instead_or_extra,count,true_support,rate_within_true_label,rare_true_label
pride,neutral,13,76,0.17105263157894737,True
excitement,gratitude,13,310,0.041935483870967745,False
sadness,anger,13,386,0.03367875647668394,False
sadness,approval,13,386,0.03367875647668394,False
disappointment,remorse,13,414,0.03140096618357488,False
confusion,annoyance,13,416,0.03125,False
anger,approval,13,437,0.029748283752860413,False
anger,caring,13,437,0.029748283752860413,False
anger,disappointment,13,437,0.029748283752860413,False
optimism,annoyance,13,454,0.028634361233480177,False
optimism,excitement,13,454,0.028634361233480177,False
joy,curiosity,13,461,0.028199566160520606,False
realization,caring,13,462,0.02813852813852814,False
realization,sadness,13,462,0.02813852813852814,False
disapproval,amusement,13,632,0.020569620253164556,False
annoyance,embarrassment,13,670,0.019402985074626865,False
annoyance,surprise,13,670,0.019402985074626865,False
gratitude,excitement,13,671,0.019374068554396422,False
pride,approval,12,76,0.15789473684210525,True
caring,admiration,12,306,0.0392156862745098,False
sadness,realization,12,386,0.031088082901554404,False
optimism,amusement,12,454,0.02643171806167401,False
optimism,disappointment,12,454,0.02643171806167401,False
optimism,joy,12,454,0.02643171806167401,False
curiosity,approval,12,552,0.021739130434782608,False
annoyance,gratitude,12,670,0.01791044776119403,False
gratitude,optimism,12,671,0.01788375558867362,False
gratitude,neutral,12,671,0.01788375558867362,False
approval,sadness,12,999,0.012012012012012012,False
neutral,gratitude,12,2116,0.005671077504725898,False
relief,gratitude,11,77,0.14285714285714285,True
embarrassment,remorse,11,123,0.08943089430894309,True
remorse,disappointment,11,131,0.08396946564885496,False
fear,sadness,11,177,0.062146892655367235,False
desire,caring,11,184,0.059782608695652176,False
caring,disapproval,11,306,0.03594771241830065,False
caring,love,11,306,0.03594771241830065,False
surprise,amusement,11,333,0.03303303303303303,False
surprise,approval,11,333,0.03303303303303303,False
sadness,amusement,11,386,0.02849740932642487,False
sadness,optimism,11,386,0.02849740932642487,False
disappointment,fear,11,414,0.026570048309178744,False
disappointment,realization,11,414,0.026570048309178744,False
anger,sadness,11,437,0.02517162471395881,False
love,curiosity,11,479,0.022964509394572025,False
love,gratitude,11,479,0.022964509394572025,False
amusement,annoyance,11,541,0.02033271719038817,False
curiosity,amusement,11,552,0.019927536231884056,False
curiosity,excitement,11,552,0.019927536231884056,False
disapproval,caring,11,632,0.01740506329113924,False
disapproval,sadness,11,632,0.01740506329113924,False
annoyance,realization,11,670,0.016417910447761194,False
annoyance,sadness,11,670,0.016417910447761194,False
gratitude,caring,11,671,0.01639344262295082,False
approval,anger,11,999,0.011011011011011011,False
approval,relief,11,999,0.011011011011011011,False
admiration,disappointment,11,1026,0.010721247563352826,False
neutral,embarrassment,11,2116,0.005198487712665407,False
nervousness,disappointment,10,105,0.09523809523809523,True
nervousness,neutral,10,105,0.09523809523809523,True
embarrassment,annoyance,10,123,0.08130081300813008,True
disgust,fear,10,291,0.03436426116838488,False
caring,annoyance,10,306,0.032679738562091505,False
caring,curiosity,10,306,0.032679738562091505,False
caring,sadness,10,306,0.032679738562091505,False
surprise,annoyance,10,333,0.03003003003003003,False
optimism,sadness,10,454,0.022026431718061675,False
realization,disgust,10,462,0.021645021645021644,False
realization,love,10,462,0.021645021645021644,False
love,amusement,10,479,0.020876826722338204,False
love,neutral,10,479,0.020876826722338204,False
curiosity,anger,10,552,0.018115942028985508,False
disapproval,gratitude,10,632,0.015822784810126583,False
admiration,realization,10,1026,0.009746588693957114,False
nervousness,disgust,9,105,0.08571428571428572,True
nervousness,sadness,9,105,0.08571428571428572,True
fear,disapproval,9,177,0.05084745762711865,False
caring,amusement,9,306,0.029411764705882353,False
caring,gratitude,9,306,0.029411764705882353,False
sadness,confusion,9,386,0.023316062176165803,False
sadness,disapproval,9,386,0.023316062176165803,False
disappointment,curiosity,9,414,0.021739130434782608,False
disappointment,surprise,9,414,0.021739130434782608,False
optimism,realization,9,454,0.019823788546255508,False
joy,optimism,9,461,0.019522776572668113,False
love,excitement,9,479,0.018789144050104383,False
amusement,approval,9,541,0.0166358595194085,False
amusement,curiosity,9,541,0.0166358595194085,False
amusement,excitement,9,541,0.0166358595194085,False
disapproval,love,9,632,0.014240506329113924,False
admiration,annoyance,9,1026,0.008771929824561403,False
admiration,disapproval,9,1026,0.008771929824561403,False
grief,sadness,8,40,0.2,True
relief,neutral,8,77,0.1038961038961039,True
nervousness,annoyance,8,105,0.0761904761904762,True
nervousness,confusion,8,105,0.0761904761904762,True
embarrassment,anger,8,123,0.06504065040650407,True
embarrassment,confusion,8,123,0.06504065040650407,True
sadness,curiosity,8,386,0.02072538860103627,False
disappointment,amusement,8,414,0.01932367149758454,False
confusion,surprise,8,416,0.019230769230769232,False
anger,love,8,437,0.018306636155606407,False
joy,annoyance,8,461,0.01735357917570499,False
joy,realization,8,461,0.01735357917570499,False
joy,surprise,8,461,0.01735357917570499,False
realization,embarrassment,8,462,0.017316017316017316,False
realization,joy,8,462,0.017316017316017316,False
realization,optimism,8,462,0.017316017316017316,False
realization,remorse,8,462,0.017316017316017316,False
curiosity,disgust,8,552,0.014492753623188406,False
curiosity,love,8,552,0.014492753623188406,False
curiosity,optimism,8,552,0.014492753623188406,False
disapproval,realization,8,632,0.012658227848101266,False
annoyance,love,8,670,0.011940298507462687,False
approval,remorse,8,999,0.008008008008008008,False
admiration,disgust,8,1026,0.007797270955165692,False
grief,neutral,7,40,0.175,True
relief,caring,7,77,0.09090909090909091,True
embarrassment,approval,7,123,0.056910569105691054,True
fear,disappointment,7,177,0.03954802259887006,False
desire,annoyance,7,184,0.03804347826086957,False
surprise,anger,7,333,0.021021021021021023,False
surprise,disapproval,7,333,0.021021021021021023,False
surprise,disgust,7,333,0.021021021021021023,False
sadness,disgust,7,386,0.018134715025906734,False
sadness,fear,7,386,0.018134715025906734,False
disappointment,desire,7,414,0.016908212560386472,False
confusion,anger,7,416,0.016826923076923076,False
anger,embarrassment,7,437,0.016018306636155607,False
anger,remorse,7,437,0.016018306636155607,False
anger,surprise,7,437,0.016018306636155607,False
realization,fear,7,462,0.015151515151515152,False
love,caring,7,479,0.014613778705636743,False
amusement,confusion,7,541,0.012939001848428836,False
amusement,gratitude,7,541,0.012939001848428836,False
amusement,surprise,7,541,0.012939001848428836,False
curiosity,disapproval,7,552,0.012681159420289856,False
disapproval,remorse,7,632,0.011075949367088608,False
annoyance,optimism,7,670,0.010447761194029851,False
gratitude,relief,7,671,0.010432190760059613,False
neutral,relief,7,2116,0.0033081285444234404,False
pride,optimism,6,76,0.07894736842105263,True
embarrassment,curiosity,6,123,0.04878048780487805,True
embarrassment,fear,6,123,0.04878048780487805,True
fear,approval,6,177,0.03389830508474576,False
fear,embarrassment,6,177,0.03389830508474576,False
fear,neutral,6,177,0.03389830508474576,False
desire,excitement,6,184,0.03260869565217391,False
disgust,confusion,6,291,0.020618556701030927,False
disgust,remorse,6,291,0.020618556701030927,False
disgust,surprise,6,291,0.020618556701030927,False
excitement,annoyance,6,310,0.01935483870967742,False
surprise,love,6,333,0.018018018018018018,False
sadness,caring,6,386,0.015544041450777202,False
sadness,gratitude,6,386,0.015544041450777202,False
disappointment,admiration,6,414,0.014492753623188406,False
disappointment,embarrassment,6,414,0.014492753623188406,False
disappointment,excitement,6,414,0.014492753623188406,False
disappointment,optimism,6,414,0.014492753623188406,False
confusion,admiration,6,416,0.014423076923076924,False
confusion,amusement,6,416,0.014423076923076924,False
confusion,disappointment,6,416,0.014423076923076924,False
confusion,remorse,6,416,0.014423076923076924,False
anger,admiration,6,437,0.013729977116704805,False
anger,amusement,6,437,0.013729977116704805,False
realization,anger,6,462,0.012987012987012988,False
love,optimism,6,479,0.012526096033402923,False
amusement,love,6,541,0.011090573012939002,False
amusement,optimism,6,541,0.011090573012939002,False
amusement,remorse,6,541,0.011090573012939002,False
annoyance,caring,6,670,0.008955223880597015,False
gratitude,remorse,6,671,0.00894187779433681,False
approval,fear,6,999,0.006006006006006006,False
approval,pride,6,999,0.006006006006006006,False
approval,surprise,6,999,0.006006006006006006,False
admiration,sadness,6,1026,0.005847953216374269,False
grief,caring,5,40,0.125,True
grief,disappointment,5,40,0.125,True
pride,joy,5,76,0.06578947368421052,True
relief,admiration,5,77,0.06493506493506493,True
nervousness,anger,5,105,0.047619047619047616,True
embarrassment,disapproval,5,123,0.04065040650406504,True
remorse,annoyance,5,131,0.03816793893129771,False
remorse,realization,5,131,0.03816793893129771,False
remorse,sadness,5,131,0.03816793893129771,False
remorse,neutral,5,131,0.03816793893129771,False
desire,admiration,5,184,0.02717391304347826,False
desire,amusement,5,184,0.02717391304347826,False
desire,gratitude,5,184,0.02717391304347826,False
desire,joy,5,184,0.02717391304347826,False
disgust,admiration,5,291,0.01718213058419244,False
disgust,amusement,5,291,0.01718213058419244,False
disgust,curiosity,5,291,0.01718213058419244,False
disgust,sadness,5,291,0.01718213058419244,False
caring,confusion,5,306,0.016339869281045753,False
caring,relief,5,306,0.016339869281045753,False
surprise,gratitude,5,333,0.015015015015015015,False
sadness,embarrassment,5,386,0.012953367875647668,False
disappointment,joy,5,414,0.012077294685990338,False
disappointment,love,5,414,0.012077294685990338,False
optimism,anger,5,454,0.011013215859030838,False
love,confusion,5,479,0.010438413361169102,False
amusement,desire,5,541,0.009242144177449169,False
amusement,disapproval,5,541,0.009242144177449169,False
disapproval,optimism,5,632,0.007911392405063292,False
annoyance,joy,5,670,0.007462686567164179,False
annoyance,remorse,5,670,0.007462686567164179,False
gratitude,curiosity,5,671,0.007451564828614009,False
admiration,confusion,5,1026,0.004873294346978557,False
neutral,remorse,5,2116,0.0023629489603024575,False
relief,amusement,4,77,0.05194805194805195,True
relief,disappointment,4,77,0.05194805194805195,True
nervousness,admiration,4,105,0.0380952380952381,True
nervousness,amusement,4,105,0.0380952380952381,True
nervousness,curiosity,4,105,0.0380952380952381,True
embarrassment,surprise,4,123,0.032520325203252036,True
remorse,anger,4,131,0.030534351145038167,False
fear,annoyance,4,177,0.022598870056497175,False
desire,curiosity,4,184,0.021739130434782608,False
desire,sadness,4,184,0.021739130434782608,False
desire,surprise,4,184,0.021739130434782608,False
disgust,embarrassment,4,291,0.013745704467353952,False
caring,anger,4,306,0.013071895424836602,False
caring,fear,4,306,0.013071895424836602,False
excitement,anger,4,310,0.012903225806451613,False
excitement,confusion,4,310,0.012903225806451613,False
excitement,optimism,4,310,0.012903225806451613,False
surprise,disappointment,4,333,0.012012012012012012,False
surprise,joy,4,333,0.012012012012012012,False
sadness,desire,4,386,0.010362694300518135,False
sadness,joy,4,386,0.010362694300518135,False
disappointment,caring,4,414,0.00966183574879227,False
disappointment,gratitude,4,414,0.00966183574879227,False
disappointment,nervousness,4,414,0.00966183574879227,False
optimism,fear,4,454,0.00881057268722467,False
optimism,surprise,4,454,0.00881057268722467,False
joy,caring,4,461,0.008676789587852495,False
joy,confusion,4,461,0.008676789587852495,False
joy,disapproval,4,461,0.008676789587852495,False
joy,fear,4,461,0.008676789587852495,False
joy,pride,4,461,0.008676789587852495,False
realization,excitement,4,462,0.008658008658008658,False
amusement,anger,4,541,0.0073937153419593345,False
curiosity,desire,4,552,0.007246376811594203,False
curiosity,fear,4,552,0.007246376811594203,False
curiosity,gratitude,4,552,0.007246376811594203,False
disapproval,embarrassment,4,632,0.006329113924050633,False
disapproval,excitement,4,632,0.006329113924050633,False
admiration,desire,4,1026,0.003898635477582846,False
admiration,pride,4,1026,0.003898635477582846,False
admiration,remorse,4,1026,0.003898635477582846,False
grief,confusion,3,40,0.075,True
grief,fear,3,40,0.075,True
grief,relief,3,40,0.075,True
grief,remorse,3,40,0.075,True
pride,amusement,3,76,0.039473684210526314,True
pride,excitement,3,76,0.039473684210526314,True
pride,gratitude,3,76,0.039473684210526314,True
nervousness,approval,3,105,0.02857142857142857,True
nervousness,caring,3,105,0.02857142857142857,True
nervousness,embarrassment,3,105,0.02857142857142857,True
nervousness,gratitude,3,105,0.02857142857142857,True
nervousness,realization,3,105,0.02857142857142857,True
embarrassment,amusement,3,123,0.024390243902439025,True
embarrassment,gratitude,3,123,0.024390243902439025,True
embarrassment,realization,3,123,0.024390243902439025,True
embarrassment,sadness,3,123,0.024390243902439025,True
remorse,approval,3,131,0.022900763358778626,False
remorse,confusion,3,131,0.022900763358778626,False
remorse,disgust,3,131,0.022900763358778626,False
fear,admiration,3,177,0.01694915254237288,False
fear,amusement,3,177,0.01694915254237288,False
fear,anger,3,177,0.01694915254237288,False
fear,confusion,3,177,0.01694915254237288,False
fear,curiosity,3,177,0.01694915254237288,False
fear,gratitude,3,177,0.01694915254237288,False
fear,nervousness,3,177,0.01694915254237288,False
desire,disappointment,3,184,0.016304347826086956,False
desire,disapproval,3,184,0.016304347826086956,False
disgust,approval,3,291,0.010309278350515464,False
disgust,caring,3,291,0.010309278350515464,False
disgust,desire,3,291,0.010309278350515464,False
caring,embarrassment,3,306,0.00980392156862745,False
excitement,desire,3,310,0.00967741935483871,False
excitement,pride,3,310,0.00967741935483871,False
excitement,realization,3,310,0.00967741935483871,False
excitement,remorse,3,310,0.00967741935483871,False
surprise,sadness,3,333,0.009009009009009009,False
sadness,admiration,3,386,0.007772020725388601,False
sadness,love,3,386,0.007772020725388601,False
sadness,surprise,3,386,0.007772020725388601,False
confusion,excitement,3,416,0.007211538461538462,False
confusion,optimism,3,416,0.007211538461538462,False
confusion,sadness,3,416,0.007211538461538462,False
anger,desire,3,437,0.006864988558352402,False
anger,fear,3,437,0.006864988558352402,False
anger,gratitude,3,437,0.006864988558352402,False
optimism,relief,3,454,0.006607929515418502,False
joy,anger,3,461,0.006507592190889371,False
joy,disappointment,3,461,0.006507592190889371,False
joy,sadness,3,461,0.006507592190889371,False
realization,desire,3,462,0.006493506493506494,False
amusement,embarrassment,3,541,0.005545286506469501,False
curiosity,realization,3,552,0.005434782608695652,False
disapproval,fear,3,632,0.004746835443037975,False
disapproval,joy,3,632,0.004746835443037975,False
annoyance,desire,3,670,0.004477611940298508,False
annoyance,excitement,3,670,0.004477611940298508,False
gratitude,amusement,3,671,0.004470938897168405,False
gratitude,disappointment,3,671,0.004470938897168405,False
gratitude,sadness,3,671,0.004470938897168405,False
approval,embarrassment,3,999,0.003003003003003003,False
admiration,relief,3,1026,0.0029239766081871343,False
grief,annoyance,2,40,0.05,True
grief,curiosity,2,40,0.05,True
pride,curiosity,2,76,0.02631578947368421,True
pride,disappointment,2,76,0.02631578947368421,True
pride,love,2,76,0.02631578947368421,True
pride,realization,2,76,0.02631578947368421,True
relief,disgust,2,77,0.025974025974025976,True
relief,fear,2,77,0.025974025974025976,True
relief,love,2,77,0.025974025974025976,True
relief,pride,2,77,0.025974025974025976,True
relief,realization,2,77,0.025974025974025976,True
relief,surprise,2,77,0.025974025974025976,True
nervousness,desire,2,105,0.01904761904761905,True
nervousness,disapproval,2,105,0.01904761904761905,True
nervousness,remorse,2,105,0.01904761904761905,True
embarrassment,desire,2,123,0.016260162601626018,True
embarrassment,optimism,2,123,0.016260162601626018,True
remorse,caring,2,131,0.015267175572519083,False
remorse,embarrassment,2,131,0.015267175572519083,False
fear,caring,2,177,0.011299435028248588,False
fear,joy,2,177,0.011299435028248588,False
fear,love,2,177,0.011299435028248588,False
fear,remorse,2,177,0.011299435028248588,False
fear,surprise,2,177,0.011299435028248588,False
desire,anger,2,184,0.010869565217391304,False
desire,confusion,2,184,0.010869565217391304,False
desire,love,2,184,0.010869565217391304,False
desire,realization,2,184,0.010869565217391304,False
desire,remorse,2,184,0.010869565217391304,False
disgust,love,2,291,0.006872852233676976,False
disgust,optimism,2,291,0.006872852233676976,False
caring,desire,2,306,0.006535947712418301,False
caring,disappointment,2,306,0.006535947712418301,False
caring,excitement,2,306,0.006535947712418301,False
caring,pride,2,306,0.006535947712418301,False
caring,realization,2,306,0.006535947712418301,False
excitement,caring,2,310,0.0064516129032258064,False
excitement,disgust,2,310,0.0064516129032258064,False
excitement,fear,2,310,0.0064516129032258064,False
excitement,relief,2,310,0.0064516129032258064,False
surprise,caring,2,333,0.006006006006006006,False
surprise,fear,2,333,0.006006006006006006,False
surprise,relief,2,333,0.006006006006006006,False
sadness,nervousness,2,386,0.0051813471502590676,False
sadness,relief,2,386,0.0051813471502590676,False
confusion,caring,2,416,0.004807692307692308,False
confusion,disgust,2,416,0.004807692307692308,False
confusion,fear,2,416,0.004807692307692308,False
confusion,gratitude,2,416,0.004807692307692308,False
confusion,joy,2,416,0.004807692307692308,False
confusion,love,2,416,0.004807692307692308,False
anger,excitement,2,437,0.004576659038901602,False
anger,joy,2,437,0.004576659038901602,False
anger,optimism,2,437,0.004576659038901602,False
joy,desire,2,461,0.004338394793926247,False
joy,disgust,2,461,0.004338394793926247,False
realization,pride,2,462,0.004329004329004329,False
realization,relief,2,462,0.004329004329004329,False
love,desire,2,479,0.0041753653444676405,False
love,disappointment,2,479,0.0041753653444676405,False
love,remorse,2,479,0.0041753653444676405,False
love,sadness,2,479,0.0041753653444676405,False
love,surprise,2,479,0.0041753653444676405,False
amusement,caring,2,541,0.0036968576709796672,False
amusement,disgust,2,541,0.0036968576709796672,False
amusement,realization,2,541,0.0036968576709796672,False
amusement,sadness,2,541,0.0036968576709796672,False
curiosity,disappointment,2,552,0.0036231884057971015,False
curiosity,embarrassment,2,552,0.0036231884057971015,False
curiosity,joy,2,552,0.0036231884057971015,False
annoyance,nervousness,2,670,0.0029850746268656717,False
annoyance,relief,2,670,0.0029850746268656717,False
gratitude,pride,2,671,0.0029806259314456036,False
admiration,anger,2,1026,0.001949317738791423,False
admiration,embarrassment,2,1026,0.001949317738791423,False
admiration,fear,2,1026,0.001949317738791423,False
neutral,grief,2,2116,0.000945179584120983,False
neutral,nervousness,2,2116,0.000945179584120983,False
grief,amusement,1,40,0.025,True
grief,anger,1,40,0.025,True
grief,approval,1,40,0.025,True
grief,desire,1,40,0.025,True
grief,disapproval,1,40,0.025,True
grief,joy,1,40,0.025,True
grief,love,1,40,0.025,True
grief,optimism,1,40,0.025,True
grief,surprise,1,40,0.025,True
pride,desire,1,76,0.013157894736842105,True
pride,surprise,1,76,0.013157894736842105,True
relief,confusion,1,77,0.012987012987012988,True
relief,curiosity,1,77,0.012987012987012988,True
relief,disapproval,1,77,0.012987012987012988,True
relief,embarrassment,1,77,0.012987012987012988,True
relief,excitement,1,77,0.012987012987012988,True
relief,nervousness,1,77,0.012987012987012988,True
relief,sadness,1,77,0.012987012987012988,True
nervousness,excitement,1,105,0.009523809523809525,True
nervousness,joy,1,105,0.009523809523809525,True
nervousness,love,1,105,0.009523809523809525,True
nervousness,optimism,1,105,0.009523809523809525,True
nervousness,relief,1,105,0.009523809523809525,True
embarrassment,admiration,1,123,0.008130081300813009,True
embarrassment,caring,1,123,0.008130081300813009,True
remorse,curiosity,1,131,0.007633587786259542,False
remorse,disapproval,1,131,0.007633587786259542,False
remorse,fear,1,131,0.007633587786259542,False
remorse,gratitude,1,131,0.007633587786259542,False
remorse,joy,1,131,0.007633587786259542,False
remorse,optimism,1,131,0.007633587786259542,False
remorse,relief,1,131,0.007633587786259542,False
remorse,surprise,1,131,0.007633587786259542,False
fear,optimism,1,177,0.005649717514124294,False
fear,relief,1,177,0.005649717514124294,False
desire,embarrassment,1,184,0.005434782608695652,False
disgust,excitement,1,291,0.003436426116838488,False
disgust,gratitude,1,291,0.003436426116838488,False
disgust,joy,1,291,0.003436426116838488,False
disgust,nervousness,1,291,0.003436426116838488,False
disgust,realization,1,291,0.003436426116838488,False
caring,disgust,1,306,0.0032679738562091504,False
caring,nervousness,1,306,0.0032679738562091504,False
caring,surprise,1,306,0.0032679738562091504,False
excitement,disapproval,1,310,0.0032258064516129032,False
excitement,nervousness,1,310,0.0032258064516129032,False
surprise,desire,1,333,0.003003003003003003,False
surprise,optimism,1,333,0.003003003003003003,False
sadness,excitement,1,386,0.0025906735751295338,False
disappointment,relief,1,414,0.0024154589371980675,False
confusion,desire,1,416,0.002403846153846154,False
